"marriage_id","tree_id","husband_id","wife_id","start_date"
"129994","14","194196","194197","1045-12-11"
"129995","14","194202","194208","1076-09-04"
"129996","14","194203","194209","1082-12-21"
"129997","14","194204","194210","1064-05-02"
"129998","14","194206","194211","1126-08-27"
"129999","14","194207","194212","1095-12-01"
"130000","14","194213","194198","1080-04-07"
"130001","14","194214","194199","1058-10-19"
"130002","14","194215","194200","1083-09-10"
"130003","14","194216","194201","1099-02-20"
"130004","14","194217","194205","1109-08-23"
"130005","14","194220","194268","1085-12-08"
"130006","14","194221","194269","1135-06-08"
"130007","14","194223","194270","1126-10-12"
"130008","14","194228","194271","1137-04-28"
"130009","14","194229","194272","1133-04-14"
"130010","14","194230","194273","1117-06-30"
"130011","14","194235","194274","1144-02-22"
"130012","14","194236","194275","1149-10-11"
"130013","14","194238","194276","1122-04-14"
"130014","14","194240","194277","1108-11-01"
"130015","14","194243","194278","1087-06-17"
"130016","14","194244","194279","1132-06-30"
"130017","14","194248","194280","1144-09-03"
"130018","14","194249","194281","1098-09-22"
"130019","14","194251","194282","1139-04-24"
"130020","14","194252","194283","1140-10-28"
"130021","14","194253","194284","1108-09-17"
"130022","14","194254","194285","1129-01-29"
"130023","14","194257","194286","1133-08-19"
"130024","14","194260","194287","1095-10-26"
"130025","14","194263","194288","1098-08-31"
"130026","14","194264","194289","1072-02-14"
"130027","14","194265","194290","1140-09-24"
"130028","14","194267","194291","1110-04-18"
"130029","14","194292","194218","1126-09-29"
"130030","14","194293","194219","1161-04-16"
"130031","14","194294","194222","1098-03-25"
"130032","14","194295","194224","1104-11-28"
"130033","14","194296","194225","1109-08-27"
"130034","14","194297","194226","1154-09-28"
"130035","14","194298","194227","1147-06-29"
"130036","14","194299","194231","1138-08-20"
"130037","14","194300","194232","1109-09-22"
"130038","14","194301","194233","1114-09-12"
"130039","14","194302","194234","1131-03-16"
"130040","14","194303","194237","1115-06-10"
"130041","14","194304","194239","1107-02-04"
"130042","14","194305","194241","1115-11-23"
"130043","14","194306","194242","1075-10-26"
"130044","14","194307","194245","1071-09-07"
"130045","14","194308","194246","1140-10-15"
"130046","14","194309","194247","1116-01-29"
"130047","14","194310","194250","1122-11-10"
"130048","14","194311","194256","1131-11-21"
"130049","14","194312","194258","1108-09-28"
"130050","14","194313","194259","1126-03-19"
"130051","14","194314","194261","1095-03-26"
"130052","14","194315","194262","1112-08-28"
"130053","14","194316","194266","1140-03-17"
"130054","14","194318","194567","1151-05-16"
"130055","14","194319","194568","1169-12-17"
"130056","14","194322","194569","1172-11-10"
"130057","14","194324","194570","1161-07-17"
"130058","14","194325","194571","1155-05-13"
"130059","14","194328","194572","1189-08-28"
"130060","14","194329","194573","1158-10-14"
"130061","14","194330","194574","1175-07-13"
"130062","14","194332","194575","1165-08-25"
"130063","14","194333","194576","1153-07-09"
"130064","14","194336","194577","1168-07-07"
"130065","14","194337","194578","1154-06-28"
"130066","14","194338","194579","1198-02-12"
"130067","14","194340","194580","1173-10-14"
"130068","14","194343","194581","1153-08-10"
"130069","14","194349","194582","1193-09-16"
"130070","14","194351","194583","1164-01-16"
"130071","14","194353","194584","1161-07-30"
"130072","14","194356","194585","1157-01-01"
"130073","14","194358","194586","1154-02-26"
"130074","14","194359","194587","1124-12-30"
"130075","14","194361","194588","1143-05-21"
"130076","14","194362","194589","1124-11-15"
"130077","14","194364","194590","1164-12-03"
"130078","14","194368","194591","1170-02-17"
"130079","14","194377","194592","1140-09-04"
"130080","14","194379","194593","1128-07-07"
"130081","14","194381","194594","1165-10-26"
"130082","14","194382","194595","1128-07-08"
"130083","14","194383","194596","1173-01-05"
"130084","14","194385","194597","1173-02-25"
"130085","14","194387","194598","1158-09-23"
"130086","14","194389","194599","1206-11-20"
"130087","14","194390","194600","1208-06-16"
"130088","14","194392","194601","1164-06-18"
"130089","14","194395","194602","1141-09-03"
"130090","14","194396","194603","1175-07-06"
"130091","14","194397","194604","1149-10-25"
"130092","14","194398","194605","1158-01-29"
"130093","14","194400","194606","1173-07-16"
"130094","14","194401","194607","1126-12-02"
"130095","14","194403","194608","1157-10-28"
"130096","14","194404","194609","1140-10-24"
"130097","14","194405","194610","1158-08-26"
"130098","14","194408","194611","1111-06-08"
"130099","14","194409","194612","1117-09-22"
"130100","14","194412","194613","1172-06-29"
"130101","14","194416","194614","1171-08-13"
"130102","14","194417","194615","1139-06-14"
"130103","14","194418","194616","1160-01-03"
"130104","14","194425","194617","1132-09-16"
"130105","14","194426","194618","1100-08-13"
"130106","14","194428","194619","1146-08-20"
"130107","14","194434","194620","1125-03-23"
"130108","14","194435","194621","1147-10-01"
"130109","14","194436","194622","1114-10-26"
"130110","14","194437","194623","1163-06-20"
"130111","14","194439","194624","1137-04-16"
"130112","14","194440","194625","1108-02-17"
"130113","14","194441","194626","1101-07-10"
"130114","14","194442","194627","1106-06-11"
"130115","14","194444","194628","1135-11-21"
"130116","14","194447","194629","1149-01-04"
"130117","14","194448","194630","1157-09-20"
"130118","14","194449","194631","1148-12-29"
"130119","14","194450","194632","1159-06-18"
"130120","14","194452","194633","1202-01-19"
"130121","14","194453","194634","1177-09-08"
"130122","14","194455","194635","1147-07-09"
"130123","14","194459","194636","1170-06-07"
"130124","14","194460","194637","1172-08-21"
"130125","14","194461","194638","1173-04-07"
"130126","14","194463","194639","1170-11-29"
"130127","14","194465","194640","1168-09-11"
"130128","14","194467","194641","1161-02-07"
"130129","14","194468","194642","1163-04-23"
"130130","14","194472","194643","1151-08-08"
"130131","14","194473","194644","1147-08-14"
"130132","14","194475","194645","1160-11-20"
"130133","14","194476","194646","1191-03-04"
"130134","14","194477","194647","1145-05-27"
