tree_id,user_id,role,invited_at
1,21,owner,2019-08-24 20:27:19
1,3,editor,2025-11-28 13:26:42
1,33,editor,2020-09-15 07:32:42
2,16,owner,2016-07-05 04:22:57
2,14,editor,2022-04-05 12:28:06
2,40,editor,2017-08-25 20:39:05
2,43,editor,2024-11-28 12:02:14
2,47,editor,2019-08-03 21:41:20
3,23,owner,2017-11-16 19:56:57
3,21,editor,2026-04-04 03:05:31
3,33,editor,2021-11-04 12:27:46
4,37,owner,2017-06-25 12:25:18
4,9,editor,2021-09-07 12:13:17
4,28,editor,2021-11-18 21:46:43
4,32,editor,2024-10-26 12:19:07
4,33,editor,2018-05-05 17:28:20
4,35,editor,2023-03-12 02:36:11
4,46,editor,2022-02-15 07:53:11
5,27,owner,2025-01-05 06:48:12
5,1,editor,2026-03-10 10:37:07
5,14,editor,2025-03-30 01:46:10
5,21,editor,2026-04-15 17:40:35
5,38,editor,2025-01-14 13:02:14
5,44,editor,2025-06-17 00:48:46
6,36,owner,2019-12-15 16:47:06
6,1,editor,2025-04-05 20:10:43
6,17,editor,2021-11-24 16:03:34
6,21,editor,2021-04-16 21:47:19
6,35,editor,2024-03-06 19:42:40
7,24,owner,2023-09-05 00:12:10
7,12,editor,2024-06-07 12:55:42
7,13,editor,2024-03-08 03:53:06
7,18,editor,2026-01-22 00:07:23
7,35,editor,2024-04-24 17:42:30
7,37,editor,2025-08-26 13:52:51
8,43,owner,2018-04-13 18:41:06
8,42,editor,2026-03-28 14:30:05
9,23,owner,2017-11-16 19:56:57
9,1,editor,2019-05-13 22:08:29
9,12,editor,2019-02-14 20:34:52
9,40,editor,2018-05-05 22:52:53
9,48,editor,2025-01-10 07:18:45
10,35,owner,2022-08-02 06:17:24
10,4,editor,2023-08-20 18:56:35
10,6,editor,2023-03-03 04:48:07
10,46,editor,2024-01-10 04:26:35
11,32,owner,2021-11-11 23:40:40
11,22,editor,2024-01-18 18:00:32
11,26,editor,2022-03-15 18:48:40
11,43,editor,2025-07-02 10:26:36
12,27,owner,2025-01-05 06:48:12
12,5,editor,2025-09-09 13:08:53
12,7,editor,2025-04-08 16:08:59
12,38,editor,2026-03-04 20:34:02
12,41,editor,2026-02-11 09:58:16
12,45,editor,2025-10-29 01:20:27
12,48,editor,2025-06-19 09:46:10
12,49,editor,2025-03-25 01:41:06
13,18,owner,2023-07-29 13:20:57
13,9,editor,2025-02-15 22:29:52
13,15,editor,2025-09-14 04:36:28
14,2,owner,2023-10-13 17:26:18
14,17,editor,2025-04-09 07:12:51
14,31,editor,2026-01-29 05:32:29
14,35,editor,2025-09-06 21:34:17
14,43,editor,2024-05-20 03:49:34
15,7,owner,2018-11-30 07:15:29
15,2,editor,2024-06-07 02:16:40
15,19,editor,2020-02-05 14:16:14
15,23,editor,2025-06-30 22:13:53
15,33,editor,2020-11-09 09:31:02
15,46,editor,2021-10-19 21:51:57
